user_id,cluster
0,5
1,0
2,1
3,7
4,3
5,2
6,5
7,7
8,1
9,7
10,2
11,4
12,7
13,7
14,5
15,7
16,7
17,3
18,3
19,3
20,6
21,2
22,1
23,1
24,7
25,2
26,6
27,2
28,1
29,2
30,0
31,1
32,3
33,3
34,3
35,7
36,7
37,1
38,3
39,3
40,7
41,1
42,0
43,7
44,0
45,3
46,1
47,7
48,2
49,1
50,7
51,7
52,6
53,1
54,2
55,3
56,2
57,2
58,7
59,3
60,4
61,7
62,3
63,1
64,7
65,1
66,1
67,1
68,1
69,7
70,0
71,2
72,6
73,7
74,3
75,6
76,1
77,0
78,6
79,7
80,3
81,5
82,7
83,1
84,2
85,7
86,7
87,7
88,1
89,6
90,3
91,4
92,2
93,4
94,7
95,7
96,3
97,1
98,0
99,7
100,5
101,2
102,1
103,1
104,3
105,7
106,1
107,1
108,7
109,4
110,2
111,7
112,4
113,7
114,6
115,0
116,7
117,7
118,7
119,1
120,5
121,5
122,2
123,1
124,2
125,7
126,2
127,4
128,1
129,0
130,1
131,7
132,1
133,1
134,6
135,6
136,7
137,1
138,0
139,6
140,1
141,5
142,2
143,6
144,4
145,5
146,6
147,3
148,7
149,0
150,6
151,1
152,3
153,6
154,0
155,6
156,1
157,4
158,2
159,5
160,2
161,7
162,6
163,1
164,0
165,7
166,2
167,3
168,7
169,5
170,1
171,0
172,7
173,5
174,2
175,1
176,2
177,2
178,1
179,1
180,3
181,0
182,2
183,1
184,1
185,1
186,5
187,7
188,3
189,3
190,7
191,3
192,7
193,3
194,4
195,1
196,2
197,4
198,6
199,1
200,6
201,5
202,7
203,3
204,0
205,1
206,0
207,7
208,6
209,2
210,1
211,3
212,5
213,4
214,1
215,7
216,6
217,7
218,7
219,7
220,3
221,7
222,3
223,1
224,7
225,3
226,3
227,2
228,2
229,3
230,1
231,3
232,5
233,1
234,3
235,6
236,6
237,5
238,0
239,7
240,3
241,7
242,3
243,7
244,0
245,1
246,7
247,7
248,2
249,1
250,3
251,7
252,7
253,1
254,6
255,1
256,7
257,3
258,7
259,5
260,0
261,3
262,6
263,1
264,6
265,7
266,7
267,6
268,3
269,3
270,7
271,7
272,3
273,1
274,7
275,7
276,7
277,1
278,1
279,7
280,0
281,6
282,0
283,0
284,2
285,1
286,0
287,5
288,0
289,3
290,1
291,4
292,1
293,1
294,7
295,1
296,6
297,7
298,0
299,3
300,6
301,7
302,0
303,2
304,6
305,5
306,3
307,7
308,7
309,2
310,1
311,1
312,3
313,7
314,3
315,1
316,2
317,2
318,1
319,2
320,7
321,1
322,1
323,4
324,5
325,6
326,6
327,6
328,7
329,3
330,7
331,7
332,7
333,3
334,6
335,3
336,3
337,3
338,7
339,6
340,2
341,0
342,1
343,3
344,1
345,4
346,1
347,1
348,7
349,1
350,1
351,2
352,1
353,7
354,2
355,1
356,2
357,6
358,2
359,2
360,7
361,6
362,5
363,7
364,1
365,6
366,1
367,7
368,1
369,1
370,3
371,4
372,1
373,5
374,0
375,3
376,1
377,0
378,7
379,6
380,6
381,7
382,6
383,7
384,3
385,7
386,1
387,1
388,1
389,5
390,3
391,1
392,0
393,7
394,7
395,1
396,7
397,2
398,4
399,2
400,1
401,1
402,1
403,6
404,4
405,2
406,1
407,1
408,1
409,5
410,6
411,3
412,2
413,3
414,5
415,4
416,5
417,3
418,3
419,1
420,6
421,1
422,1
423,3
424,1
425,2
426,3
427,7
428,6
429,4
430,2
431,7
432,7
433,4
434,1
435,3
436,2
437,3
438,7
439,1
440,3
441,7
442,1
443,1
444,5
445,6
446,2
447,1
448,6
449,5
450,1
451,4
452,1
453,5
454,1
455,1
456,3
457,3
458,0
459,3
460,0
461,3
462,6
463,1
464,1
465,1
466,7
467,6
468,2
469,4
470,6
471,7
472,2
473,7
474,4
475,3
476,5
477,6
478,4
479,5
480,0
481,1
482,1
483,1
484,1
485,2
486,1
487,6
488,7
489,0
490,1
491,7
492,1
493,5
494,3
495,3
496,7
497,1
498,3
499,1
500,7
501,2
502,4
503,5
